id,created_at,ranking_position,title,artist,streams,genre,lyrics,album,year,duration_seg,language_variant,source,url_source,extra_data,lyrics_status,artist_gender
11,2026-03-05 18:56:27.498047+00,11,dtmf,bad bunny,981279,reggaeton,,debi tirar mas fotos,,237,es,deezer,https://www.deezer.com/track/3171003131,"{""pais"":""PY"",""posicion"":11,""es_infantil"":false,""deezer_album_id"":693008911,""deezer_track_id"":3171003131,""deezer_artist_id"":10583405,""artistas_secundarios"":[]}",completed,
12,2026-03-05 18:56:29.280763+00,12,cuando no era cantante,el bogueto,755342,reggaeton,,cuando no era cantante,,327,es,deezer,https://www.deezer.com/track/3703400922,"{""pais"":""PY"",""posicion"":12,""es_infantil"":false,""deezer_album_id"":873052852,""deezer_track_id"":3703400922,""deezer_artist_id"":198777307,""artistas_secundarios"":[]}",completed,
13,2026-03-05 18:56:31.072872+00,13,eoo,bad bunny,979885,reggaeton,,debi tirar mas fotos,,204,es,deezer,https://www.deezer.com/track/3171003121,"{""pais"":""PY"",""posicion"":13,""es_infantil"":false,""deezer_album_id"":693008911,""deezer_track_id"":3171003121,""deezer_artist_id"":10583405,""artistas_secundarios"":[]}",completed,
14,2026-03-05 18:56:32.852191+00,14,the fate of ophelia,taylor swift,999852,pop,,the life of a showgirl,,226,en,deezer,https://www.deezer.com/track/3579685431,"{""pais"":""PY"",""posicion"":14,""es_infantil"":false,""deezer_album_id"":829966251,""deezer_track_id"":3579685431,""deezer_artist_id"":12246,""artistas_secundarios"":[]}",completed,
15,2026-03-05 18:56:34.897293+00,15,amor de vago,la ty la m,575044,reggaeton,,amor de vago,,188,es,deezer,https://www.deezer.com/track/2934178271,"{""pais"":""PY"",""posicion"":15,""es_infantil"":false,""deezer_album_id"":625237831,""deezer_track_id"":2934178271,""deezer_artist_id"":118358452,""artistas_secundarios"":[]}",completed,
16,2026-03-05 18:56:36.791471+00,16,velda,bad bunny,959242,reggaeton,,debi tirar mas fotos,,235,es,deezer,https://www.deezer.com/track/3171003031,"{""pais"":""PY"",""posicion"":16,""es_infantil"":false,""deezer_album_id"":693008911,""deezer_track_id"":3171003031,""deezer_artist_id"":10583405,""artistas_secundarios"":[]}",completed,
17,2026-03-05 18:56:38.757098+00,17,p do pecado,grupo menos e mais,977984,reggaeton,,molho,,192,es,deezer,https://www.deezer.com/track/3329623921,"{""pais"":""PY"",""posicion"":17,""es_infantil"":false,""deezer_album_id"":744118141,""deezer_track_id"":3329623921,""deezer_artist_id"":54330242,""artistas_secundarios"":[]}",completed,
18,2026-03-05 18:56:40.540355+00,18,voy a llevarte pa pr,bad bunny,987630,reggaeton,,debi tirar mas fotos,,156,es,deezer,https://www.deezer.com/track/3171002991,"{""pais"":""PY"",""posicion"":18,""error_letra"":""No encontrada en Genius"",""es_infantil"":false,""deezer_album_id"":693008911,""deezer_track_id"":3171002991,""deezer_artist_id"":10583405,""artistas_secundarios"":[]}",completed,
19,2026-03-05 18:56:42.311388+00,19,pela ultima vez,grupo menos e mais,989814,reggaeton,,pela ultima vez,,162,es,deezer,https://www.deezer.com/track/3499654751,"{""pais"":""PY"",""posicion"":19,""es_infantil"":false,""deezer_album_id"":801876931,""deezer_track_id"":3499654751,""deezer_artist_id"":54330242,""artistas_secundarios"":[]}",completed,
20,2026-03-05 18:56:44.065121+00,20,where is my husband,raye,991846,pop,,where is my husband,,196,en,deezer,https://www.deezer.com/track/3548216281,"{""pais"":""PY"",""posicion"":20,""es_infantil"":false,""deezer_album_id"":818660961,""deezer_track_id"":3548216281,""deezer_artist_id"":805948,""artistas_secundarios"":[]}",completed,
21,2026-03-05 18:56:45.899198+00,21,mi refe,beele,801382,reggaeton,,mi refe,,160,es,deezer,https://www.deezer.com/track/3100867631,"{""pais"":""PY"",""posicion"":21,""es_infantil"":false,""deezer_album_id"":672597811,""deezer_track_id"":3100867631,""deezer_artist_id"":68358002,""artistas_secundarios"":[]}",completed,
22,2026-03-05 18:56:47.905405+00,22,nuevayol,bad bunny,977729,reggaeton,,debi tirar mas fotos,,183,es,deezer,https://www.deezer.com/track/3171002981,"{""pais"":""PY"",""posicion"":22,""es_infantil"":false,""deezer_album_id"":693008911,""deezer_track_id"":3171002981,""deezer_artist_id"":10583405,""artistas_secundarios"":[]}",completed,
23,2026-03-05 18:56:49.665694+00,23,coqueta,fuerza regida,751433,reggaeton,,mala mia,,241,es,deezer,https://www.deezer.com/track/3149529091,"{""pais"":""PY"",""posicion"":23,""es_infantil"":false,""deezer_album_id"":685889791,""deezer_track_id"":3149529091,""deezer_artist_id"":13916083,""artistas_secundarios"":[]}",completed,
24,2026-03-05 18:56:51.476984+00,24,relacion rota,myke towers,429074,reggaeton,,easy money baby,,160,es,deezer,https://www.deezer.com/track/857827232,"{""pais"":""PY"",""posicion"":24,""es_infantil"":false,""deezer_album_id"":127911322,""deezer_track_id"":857827232,""deezer_artist_id"":12029862,""artistas_secundarios"":[]}",completed,
25,2026-03-05 18:56:53.299317+00,25,la plena,w sound,927925,reggaeton,,la plena,,150,es,deezer,https://www.deezer.com/track/3241972661,"{""pais"":""PY"",""posicion"":25,""es_infantil"":false,""deezer_album_id"":715794531,""deezer_track_id"":3241972661,""deezer_artist_id"":167570077,""artistas_secundarios"":[]}",completed,
26,2026-03-05 18:56:55.087904+00,26,no tiene sentido,beele,840940,reggaeton,,borondo,,159,es,deezer,https://www.deezer.com/track/3353337101,"{""pais"":""PY"",""posicion"":26,""es_infantil"":false,""deezer_album_id"":752270291,""deezer_track_id"":3353337101,""deezer_artist_id"":68358002,""artistas_secundarios"":[]}",completed,
27,2026-03-05 18:56:56.870746+00,27,yo y tu,ovy on the drums,773308,reggaeton,,yo y tu,,198,es,deezer,https://www.deezer.com/track/3382134521,"{""pais"":""PY"",""posicion"":27,""es_infantil"":false,""deezer_album_id"":761709051,""deezer_track_id"":3382134521,""deezer_artist_id"":9477752,""artistas_secundarios"":[]}",completed,
28,2026-03-05 18:56:58.721075+00,28,tu vas sin,rels b,852246,reggaeton,,afrolova,,110,es,deezer,https://www.deezer.com/track/3407512021,"{""pais"":""PY"",""posicion"":28,""es_infantil"":false,""deezer_album_id"":770272221,""deezer_track_id"":3407512021,""deezer_artist_id"":10580067,""artistas_secundarios"":[]}",completed,
29,2026-03-05 18:57:00.512209+00,29,daddy yankee bzrp music sessions vol 0,bizarrap,945234,reggaeton,,daddy yankee bzrp music sessions vol 0,,151,es,deezer,https://www.deezer.com/track/3638389092,"{""pais"":""PY"",""posicion"":29,""es_infantil"":false,""deezer_album_id"":850435472,""deezer_track_id"":3638389092,""deezer_artist_id"":12487862,""artistas_secundarios"":[]}",completed,
30,2026-03-05 18:57:02.310771+00,30,part of your world,lullaby baby trio,325430,infantil,,disney lullabies classic renditions of disney favorites,,124,en,deezer,https://www.deezer.com/track/80215550,"{""pais"":""PY"",""posicion"":30,""es_infantil"":true,""deezer_album_id"":8008414,""deezer_track_id"":80215550,""deezer_artist_id"":5898294,""artistas_secundarios"":[]}",completed,
31,2026-03-05 18:57:04.098346+00,31,primera cita,carin leon,475448,reggaeton,,colmillo de leche,,186,es,deezer,https://www.deezer.com/track/2727817081,"{""pais"":""PY"",""posicion"":31,""es_infantil"":false,""deezer_album_id"":566280821,""deezer_track_id"":2727817081,""deezer_artist_id"":14539467,""artistas_secundarios"":[]}",completed,
32,2026-03-05 18:57:05.984209+00,32,monaco,bad bunny,990651,reggaeton,,nadie sabe lo que va a pasar manana,,267,es,deezer,https://www.deezer.com/track/2496106371,"{""pais"":""PY"",""posicion"":32,""es_infantil"":false,""deezer_album_id"":499463651,""deezer_track_id"":2496106371,""deezer_artist_id"":10583405,""artistas_secundarios"":[]}",completed,
33,2026-03-05 18:57:09.857907+00,33,jamaican,hugel,993804,electronica,,jamaican,,156,fr,deezer,https://www.deezer.com/track/3624958872,"{""pais"":""PY"",""posicion"":33,""es_infantil"":false,""deezer_album_id"":845836462,""deezer_track_id"":3624958872,""deezer_artist_id"":7803478,""artistas_secundarios"":[]}",completed,
34,2026-03-05 18:57:13.668458+00,34,uwaie,max carra,510920,reggaeton,,uwaie,,162,es,deezer,https://www.deezer.com/track/3265159601,"{""pais"":""PY"",""posicion"":34,""es_infantil"":false,""deezer_album_id"":723059771,""deezer_track_id"":3265159601,""deezer_artist_id"":5964944,""artistas_secundarios"":[]}",completed,
35,2026-03-05 18:57:17.64393+00,35,si antes te hubiera conocido,karol g,981639,reggaeton,,si antes te hubiera conocido,,196,es,deezer,https://www.deezer.com/track/2846442802,"{""pais"":""PY"",""posicion"":35,""es_infantil"":false,""deezer_album_id"":601338932,""deezer_track_id"":2846442802,""deezer_artist_id"":5297021,""artistas_secundarios"":[]}",completed,
36,2026-03-05 18:57:21.428963+00,36,superestrella,aitana,689698,pop,,cuarto azul,,184,es,deezer,https://www.deezer.com/track/3380325281,"{""pais"":""PY"",""posicion"":36,""es_infantil"":false,""deezer_album_id"":761196781,""deezer_track_id"":3380325281,""deezer_artist_id"":11928391,""artistas_secundarios"":[]}",completed,
37,2026-03-05 18:57:25.250942+00,37,una historia importante,eros ramazzotti,209974,pop,,eros,,249,es,deezer,https://www.deezer.com/track/87677391,"{""pais"":""PY"",""posicion"":37,""es_infantil"":false,""deezer_album_id"":8851667,""deezer_track_id"":87677391,""deezer_artist_id"":938,""artistas_secundarios"":[]}",completed,
38,2026-03-05 18:57:29.078995+00,38,el club,bad bunny,931142,reggaeton,,debi tirar mas fotos,,222,es,deezer,https://www.deezer.com/track/3171003041,"{""pais"":""PY"",""posicion"":38,""es_infantil"":false,""deezer_album_id"":693008911,""deezer_track_id"":3171003041,""deezer_artist_id"":10583405,""artistas_secundarios"":[]}",completed,
39,2026-03-05 18:57:32.910065+00,39,la perla,rosalia,963236,reggaeton,,lux,,195,es,deezer,https://www.deezer.com/track/3640140952,"{""pais"":""PY"",""posicion"":39,""es_infantil"":false,""deezer_album_id"":851013072,""deezer_track_id"":3640140952,""deezer_artist_id"":554792,""artistas_secundarios"":[]}",completed,
40,2026-03-05 18:57:36.932641+00,40,heart attack,demi lovato,788786,pop,,heart attack,,211,en,deezer,https://www.deezer.com/track/64971011,"{""pais"":""PY"",""posicion"":40,""es_infantil"":false,""deezer_album_id"":6364026,""deezer_track_id"":64971011,""deezer_artist_id"":193875,""artistas_secundarios"":[]}",completed,
41,2026-03-05 18:57:38.783393+00,41,dakiti,bad bunny,981990,reggaeton,,dakiti,,205,es,deezer,https://www.deezer.com/track/1122450992,"{""pais"":""PY"",""posicion"":41,""es_infantil"":false,""deezer_album_id"":182383222,""deezer_track_id"":1122450992,""deezer_artist_id"":10583405,""artistas_secundarios"":[]}",completed,
42,2026-03-05 18:57:42.676116+00,42,ensename a bailar,bad bunny,745053,reggaeton,,un verano sin ti,,176,es,deezer,https://www.deezer.com/track/1741494407,"{""pais"":""PY"",""posicion"":42,""es_infantil"":false,""deezer_album_id"":316164367,""deezer_track_id"":1741494407,""deezer_artist_id"":10583405,""artistas_secundarios"":[]}",completed,
44,2026-03-05 18:57:50.421028+00,44,posso ate nao te dar flores,dj japa nk,982130,reggaeton,,posso ate nao te dar flores,,158,pt,deezer,https://www.deezer.com/track/3543288831,"{""pais"":""PY"",""posicion"":44,""es_infantil"":false,""deezer_album_id"":816937691,""deezer_track_id"":3543288831,""deezer_artist_id"":103851292,""artistas_secundarios"":[]}",completed,
45,2026-03-05 18:57:54.222505+00,45,jetski,pedro sampaio,994067,pop,,jetski,,152,pt,deezer,https://www.deezer.com/track/3708173892,"{""pais"":""PY"",""posicion"":45,""es_infantil"":false,""deezer_album_id"":874612272,""deezer_track_id"":3708173892,""deezer_artist_id"":50633822,""artistas_secundarios"":[]}",completed,
46,2026-03-05 18:57:58.120248+00,46,back in black,ac dc,966294,rock,,back in black,,253,en,deezer,https://www.deezer.com/track/92720046,"{""pais"":""PY"",""posicion"":46,""es_infantil"":false,""deezer_album_id"":9410100,""deezer_track_id"":92720046,""deezer_artist_id"":115,""artistas_secundarios"":[]}",completed,
47,2026-03-05 18:58:01.960425+00,47,immer wieder,immer wieder,21997,rock,,immer wieder,,214,de,deezer,https://www.deezer.com/track/474370562,"{""pais"":""PY"",""posicion"":47,""es_infantil"":false,""deezer_album_id"":59219272,""deezer_track_id"":474370562,""deezer_artist_id"":1774861,""artistas_secundarios"":[]}",completed,
48,2026-03-05 18:58:05.813115+00,48,ojitos lindos,bad bunny,922499,reggaeton,,un verano sin ti,,258,es,deezer,https://www.deezer.com/track/1741494417,"{""pais"":""PY"",""posicion"":48,""es_infantil"":false,""deezer_album_id"":316164367,""deezer_track_id"":1741494417,""deezer_artist_id"":10583405,""artistas_secundarios"":[]}",completed,
49,2026-03-05 18:58:09.609858+00,49,quedate,beele,713347,reggaeton,,borondo,,180,es,deezer,https://www.deezer.com/track/3353337121,"{""pais"":""PY"",""posicion"":49,""es_infantil"":false,""deezer_album_id"":752270291,""deezer_track_id"":3353337121,""deezer_artist_id"":68358002,""artistas_secundarios"":[]}",completed,
50,2026-03-05 18:58:13.455291+00,50,te quiero igual,andres calamaro,424067,rock,,honestidad brutal,,235,es,deezer,https://www.deezer.com/track/800631,"{""pais"":""PY"",""posicion"":50,""es_infantil"":false,""deezer_album_id"":93387,""deezer_track_id"":800631,""deezer_artist_id"":5838,""artistas_secundarios"":[]}",completed,
51,2026-03-05 18:58:17.262279+00,51,careless whisper,george michael,736543,pop,,ladies gentlemen,,300,en,deezer,https://www.deezer.com/track/10392072,"{""pais"":""PY"",""posicion"":51,""es_infantil"":false,""deezer_album_id"":950341,""deezer_track_id"":10392072,""deezer_artist_id"":3098,""artistas_secundarios"":[]}",completed,
52,2026-03-05 18:58:21.060758+00,52,cry,cigarettes after sex,903849,rock,,cry,,256,en,deezer,https://www.deezer.com/track/781948852,"{""pais"":""PY"",""posicion"":52,""es_infantil"":false,""deezer_album_id"":115928592,""deezer_track_id"":781948852,""deezer_artist_id"":9568982,""artistas_secundarios"":[]}",completed,
53,2026-03-05 18:58:24.958486+00,53,up among the clouds,kimmy doyle,145293,rock,,up among the clouds,,113,en,deezer,https://www.deezer.com/track/1912781087,"{""pais"":""PY"",""posicion"":53,""error_letra"":""No encontrada en Genius"",""es_infantil"":false,""deezer_album_id"":356412637,""deezer_track_id"":1912781087,""deezer_artist_id"":183275747,""artistas_secundarios"":[]}",error,
54,2026-03-05 18:58:28.76441+00,54,cafe con ron,bad bunny,996651,reggaeton,,debi tirar mas fotos,,228,es,deezer,https://www.deezer.com/track/3171003091,"{""pais"":""PY"",""posicion"":54,""es_infantil"":false,""deezer_album_id"":693008911,""deezer_track_id"":3171003091,""deezer_artist_id"":10583405,""artistas_secundarios"":[]}",completed,
55,2026-03-05 18:58:32.602579+00,55,si te pillara,beele,681873,reggaeton,,borondo,,185,es,deezer,https://www.deezer.com/track/3353337171,"{""pais"":""PY"",""posicion"":55,""es_infantil"":false,""deezer_album_id"":752270291,""deezer_track_id"":3353337171,""deezer_artist_id"":68358002,""artistas_secundarios"":[]}",completed,
56,2026-03-05 18:58:36.431914+00,56,moscow mule,bad bunny,916343,reggaeton,,un verano sin ti,,245,es,deezer,https://www.deezer.com/track/1741494287,"{""pais"":""PY"",""posicion"":56,""es_infantil"":false,""deezer_album_id"":316164367,""deezer_track_id"":1741494287,""deezer_artist_id"":10583405,""artistas_secundarios"":[]}",completed,
57,2026-03-05 18:58:40.243414+00,57,un finde crossover 2,big one,556314,reggaeton,,un finde crossover 2,,162,es,deezer,https://www.deezer.com/track/2213429117,"{""pais"":""PY"",""posicion"":57,""es_infantil"":false,""deezer_album_id"":423044827,""deezer_track_id"":2213429117,""deezer_artist_id"":56903,""artistas_secundarios"":[]}",completed,
58,2026-03-05 18:58:44.056638+00,58,drowning,woodz,574140,reggaeton,,oo li,,244,es,deezer,https://www.deezer.com/track/2257513467,"{""pais"":""PY"",""posicion"":58,""es_infantil"":false,""deezer_album_id"":434720487,""deezer_track_id"":2257513467,""deezer_artist_id"":5114606,""artistas_secundarios"":[]}",completed,
59,2026-03-05 18:58:47.993644+00,59,messy,lola young,997108,pop,,messy,,284,en,deezer,https://www.deezer.com/track/2815968782,"{""pais"":""PY"",""posicion"":59,""es_infantil"":false,""deezer_album_id"":591239352,""deezer_track_id"":2815968782,""deezer_artist_id"":9266850,""artistas_secundarios"":[]}",completed,
60,2026-03-05 18:58:51.841644+00,60,en privado,xavi,701420,reggaeton,,en privado,,199,es,deezer,https://www.deezer.com/track/3216020161,"{""pais"":""PY"",""posicion"":60,""es_infantil"":false,""deezer_album_id"":707495301,""deezer_track_id"":3216020161,""deezer_artist_id"":153152092,""artistas_secundarios"":[]}",completed,
61,2026-03-05 18:58:55.720709+00,61,take my mind,wizthemc,793489,reggaeton,,take my mind,,171,en,deezer,https://www.deezer.com/track/3417456681,"{""pais"":""PY"",""posicion"":61,""es_infantil"":false,""deezer_album_id"":773468191,""deezer_track_id"":3417456681,""deezer_artist_id"":8896874,""artistas_secundarios"":[]}",completed,
62,2026-03-05 18:58:59.558332+00,62,sped up,aunker,563767,reggaeton,,,,156,es,deezer,https://www.deezer.com/track/3518926551,"{""pais"":""PY"",""posicion"":62,""es_infantil"":false,""deezer_album_id"":808507411,""deezer_track_id"":3518926551,""deezer_artist_id"":216026175,""artistas_secundarios"":[]}",completed,
63,2026-03-05 18:59:03.365021+00,63,without me,eminem,961431,trap,,the eminem show,,290,en,deezer,https://www.deezer.com/track/916424,"{""pais"":""PY"",""posicion"":63,""es_infantil"":false,""deezer_album_id"":103248,""deezer_track_id"":916424,""deezer_artist_id"":13,""artistas_secundarios"":[]}",completed,
64,2026-03-05 18:59:07.247521+00,64,end of beginning,djo,999711,electronica,,decide,,159,en,deezer,https://www.deezer.com/track/1899060227,"{""pais"":""PY"",""posicion"":64,""es_infantil"":false,""deezer_album_id"":353216957,""deezer_track_id"":1899060227,""deezer_artist_id"":70227002,""artistas_secundarios"":[]}",completed,
65,2026-03-05 18:59:11.124683+00,65,coracao partido,grupo menos e mais,959590,rock,,coracao partido,,195,pt,deezer,https://www.deezer.com/track/2954217391,"{""pais"":""PY"",""posicion"":65,""es_infantil"":false,""deezer_album_id"":631648411,""deezer_track_id"":2954217391,""deezer_artist_id"":54330242,""artistas_secundarios"":[]}",completed,
66,2026-03-05 18:59:14.947629+00,66,top diesel,beele,739733,reggaeton,,borondo,,190,es,deezer,https://www.deezer.com/track/3353337131,"{""pais"":""PY"",""posicion"":66,""es_infantil"":false,""deezer_album_id"":752270291,""deezer_track_id"":3353337131,""deezer_artist_id"":68358002,""artistas_secundarios"":[]}",completed,
67,2026-03-05 18:59:18.765776+00,67,video phone,selena mezgo,453477,reggaeton,,video phone,,303,es,deezer,https://www.deezer.com/track/3488315131,"{""pais"":""PY"",""posicion"":67,""es_infantil"":false,""deezer_album_id"":797957701,""deezer_track_id"":3488315131,""deezer_artist_id"":231486015,""artistas_secundarios"":[]}",completed,
68,2026-03-05 18:59:22.532105+00,68,capaz,alleh,813346,reggaeton,,la ciudad,,173,es,deezer,https://www.deezer.com/track/3649721492,"{""pais"":""PY"",""posicion"":68,""es_infantil"":false,""deezer_album_id"":854387872,""deezer_track_id"":3649721492,""deezer_artist_id"":119913392,""artistas_secundarios"":[]}",completed,
69,2026-03-05 18:59:26.368967+00,69,its my life,bon jovi,870909,rock,,bon jovi greatest hits the ultimate collection,,224,en,deezer,https://www.deezer.com/track/577487252,"{""pais"":""PY"",""posicion"":69,""es_infantil"":false,""deezer_album_id"":77211342,""deezer_track_id"":577487252,""deezer_artist_id"":637,""artistas_secundarios"":[]}",completed,
70,2026-03-05 18:59:30.172488+00,70,titi me pregunto,bad bunny,975674,reggaeton,,un verano sin ti,,243,es,deezer,https://www.deezer.com/track/1741494317,"{""pais"":""PY"",""posicion"":70,""es_infantil"":false,""deezer_album_id"":316164367,""deezer_track_id"":1741494317,""deezer_artist_id"":10583405,""artistas_secundarios"":[]}",completed,
71,2026-03-05 18:59:33.96802+00,71,santa,rvssian,881783,reggaeton,,santa,,192,en,deezer,https://www.deezer.com/track/2725148591,"{""pais"":""PY"",""posicion"":71,""es_infantil"":false,""deezer_album_id"":565722141,""deezer_track_id"":2725148591,""deezer_artist_id"":4660899,""artistas_secundarios"":[]}",completed,
72,2026-03-05 18:59:37.777969+00,72,espresso,sabrina carpenter,979835,pop,,espresso,,175,en,deezer,https://www.deezer.com/track/2743578151,"{""pais"":""PY"",""posicion"":72,""es_infantil"":false,""deezer_album_id"":571147791,""deezer_track_id"":2743578151,""deezer_artist_id"":1176900,""artistas_secundarios"":[]}",completed,
73,2026-03-05 18:59:41.585102+00,73,die,lady gaga,997757,pop,,die,,250,en,deezer,https://www.deezer.com/track/2947516331,"{""pais"":""PY"",""posicion"":73,""es_infantil"":false,""deezer_album_id"":629506181,""deezer_track_id"":2947516331,""deezer_artist_id"":75491,""artistas_secundarios"":[]}",completed,
74,2026-03-05 18:59:45.450675+00,74,que pasaria,rauw alejandro,957141,reggaeton,,cosa nuestra,,191,es,deezer,https://www.deezer.com/track/3086954731,"{""pais"":""PY"",""posicion"":74,""es_infantil"":false,""deezer_album_id"":668910861,""deezer_track_id"":3086954731,""deezer_artist_id"":11289472,""artistas_secundarios"":[]}",completed,
75,2026-03-05 18:59:49.239497+00,75,weltita,bad bunny,966611,reggaeton,,debi tirar mas fotos,,187,es,deezer,https://www.deezer.com/track/3171003021,"{""pais"":""PY"",""posicion"":75,""es_infantil"":false,""deezer_album_id"":693008911,""deezer_track_id"":3171003021,""deezer_artist_id"":10583405,""artistas_secundarios"":[]}",completed,
76,2026-03-05 18:59:53.040142+00,76,motinha,dennis,806498,reggaeton,,motinha 20,,117,pt,deezer,https://www.deezer.com/track/3191183021,"{""pais"":""PY"",""posicion"":76,""es_infantil"":false,""deezer_album_id"":699379091,""deezer_track_id"":3191183021,""deezer_artist_id"":4448284,""artistas_secundarios"":[]}",completed,
77,2026-03-05 18:59:56.849997+00,77,comernos,omar courtz,563527,reggaeton,,comernos,,221,es,deezer,https://www.deezer.com/track/3298075621,"{""pais"":""PY"",""posicion"":77,""es_infantil"":false,""deezer_album_id"":734001901,""deezer_track_id"":3298075621,""deezer_artist_id"":14534981,""artistas_secundarios"":[]}",completed,
78,2026-03-05 19:00:00.679917+00,78,yogurcito remix,blessd,599420,reggaeton,,yogurcito remix,,375,es,deezer,https://www.deezer.com/track/3521387361,"{""pais"":""PY"",""posicion"":78,""es_infantil"":false,""deezer_album_id"":809283141,""deezer_track_id"":3521387361,""deezer_artist_id"":106632,""artistas_secundarios"":[]}",completed,
79,2026-03-05 19:00:04.517169+00,79,opalite,taylor swift,999116,pop,,the life of a showgirl,,235,en,deezer,https://www.deezer.com/track/3579685451,"{""pais"":""PY"",""posicion"":79,""es_infantil"":false,""deezer_album_id"":829966251,""deezer_track_id"":3579685451,""deezer_artist_id"":12246,""artistas_secundarios"":[]}",completed,
80,2026-03-05 19:00:08.320285+00,80,zoo,disney,733336,infantil,,zoo,,191,en,deezer,https://www.deezer.com/track/3589406821,"{""pais"":""PY"",""posicion"":80,""es_infantil"":true,""deezer_album_id"":833476501,""deezer_track_id"":3589406821,""deezer_artist_id"":9219,""artistas_secundarios"":[]}",completed,
81,2026-03-05 19:00:12.156585+00,81,chevere,aria vega,792954,reggaeton,,chevere,,219,es,deezer,https://www.deezer.com/track/3838131121,"{""pais"":""PY"",""posicion"":81,""es_infantil"":false,""deezer_album_id"":916980011,""deezer_track_id"":3838131121,""deezer_artist_id"":57340572,""artistas_secundarios"":[]}",completed,
82,2026-03-05 19:00:15.983458+00,82,given up,linkin park,860386,rock,,minutes to midnight,,189,en,deezer,https://www.deezer.com/track/676836,"{""pais"":""PY"",""posicion"":82,""es_infantil"":false,""deezer_album_id"":81817,""deezer_track_id"":676836,""deezer_artist_id"":92,""artistas_secundarios"":[]}",completed,
83,2026-03-05 19:00:19.765357+00,83,here without you,3 doors down,846034,rock,,away from the sun,,237,en,deezer,https://www.deezer.com/track/2172900,"{""pais"":""PY"",""posicion"":83,""es_infantil"":false,""deezer_album_id"":217393,""deezer_track_id"":2172900,""deezer_artist_id"":340,""artistas_secundarios"":[]}",completed,
